text,negative_reason
@AmericanAir @USAirways #Boo! Wack ass terminal 6 @flyLAXairport. No food. No lounge. No Bueno!! Never again!!!,Food & Beverages
"@USAirways. wow, awful customer service.",Ground Service
@JetBlue that is my point! They are only offering me a flight the next day and expect me to now pay for a hotel because they Cancelled Flightled.,Value For Money
"@JetBlue spoken to 2 reps. Once I'm allowed to check my bag and through the TSA checkpoint, I guarantee I will be talking to someone.",Ground Service
@JetBlue a 5 year old can't sit alone on a flight. This is absurd. And this guy is a dick. #jetblue http://t.co/2HXsDP0ha4,Cabin Staff Service
"@united if guy on flight 1230 follows through on threat to sue because he couldn’t carry on 3 bags, I will defend you for free.",Ground Service
@united please tell CLT flight 4232 needs a gate. Waiting now for 15 mins.,Value For Money
@USAirways @AmericanAir According to your costumer support your website is holding my money hostage and you cant do anything about it..,Ground Service
@united who is in charge of making decisions over there? Cancelled Flightling flight UA1150 was unacceptable. I should be in #Belize right now.,Value For Money
@AmericanAir BRING MY FIANCÉ @meerikangas BACK TO ME!,Value For Money
@AmericanAir - AA1344 Cancelled Flighted on 2.23 - rebooked on us air 623/544 on 2.24. Has to be a nonstop on 2.24 for us (2)?,Value For Money
@united terrible travel experience. Traveled 8000 miles roundtrip but two Cancelled Flightlations of short hops cost me two days,Value For Money
"@united yes it is partly used, the del-ewr is used, the return flight was Cancelled Flightled due to technical glitch in operations",Value For Money
@AmericanAir I was rebooked on a flight that was too Late Flight for my connection!,Value For Money
@AmericanAir requested a call back at 1am. My Cancelled Flighted flight through DFW shouldn't take this long to reroute. You're Customer Service lacks,Ground Service
@AmericanAir at 5 am and have no clue if we have a place to stay or not,Ground Service
@JetBlue Ive called you 3 x &amp; waited on hold 10 min each time to be disconnected each time. Enraging! I need to speak to someone! #help,Ground Service
@USAirways It's not double booked. I spoke with CS and we've got a plan to fix this. It's still an amateur mistake that should never happen.,Ground Service
"@USAirways Yes, ground crew finally showed up so plane could depart very Late Flight.",Value For Money
@SouthwestAir Rapid Rewards program sold me short. #Lasttweetaboutthis but still #disappointed.,Ground Service
@USAirways Credit to my bank account for the two days of work that I've missed because of these Cancelled Flightlations.,Value For Money
@USAirways site shows on-time but FlightAware site shows delayed. Trying to decide if I get out in this ice to catch FLT 456 to PHX.,Value For Money
@JetBlue Noooo!! Why is our previously direct flight from FLL&gt;SFO diverted to LAS? Now arriving almost 2 hrs Late Flightr. 👎,Value For Money
"@USAirways @AmericanAir Almost half hour on hold.  My cell phone battery is dying.  Thanks for your loyalty from a ""Platinum"" member",Ground Service
@USAirways still waiting! Captain reports he's called 6 times to get ground crew....and still sitting on runway. #evenLate Flightr,Ground Service
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",Ground Service
@AmericanAir I have no transportation to and going to some other city and getting to NY sometime on Wed?! I'm sorry that's not gonna cut,Value For Money
@JetBlue 5hrs on Tarmac yest b4 Cancelled Flight @12am.Today 3+ hr delay. Why not send txt/email re: JFK closed &amp; saved all trip 2 sit @airport again?,Value For Money
@USAirways sucks.  Flt 2692 Late Flight by 20 mins missed my connection.  Thanks for the 10 bucks and a middle seat on the next flt.,Value For Money
"@united Friend stuck in bus on runway at PEK with two small kids no customer service, no explanation, kids crying, awful service.",Ground Service
"@united she was at the service desk at gate 21, and helped us find a flight to get us to our dest. on time when our flight got Cancelled Flightled",Value For Money
"@SouthwestAir I was in Nashville and I had to drive 3 and a half hours to Memphis, but I made it as the plane was loading!",Value For Money
@united seriously what's with the slow #wifi on this flight! If the speed was going to change for the worse then the price shouldn't go up!,Inflight Entertainment
@USAirways been on hold 2+ hours trying to reschedule Cancelled Flightled DCA-BOS flight. Can anyone help?,Ground Service
@USAirways F623 DEN:PHX. Serious display of poor customer service exhibited by flight crew today.   #newamericanairline #cheapslogannotmotto,Cabin Staff Service
"@SouthwestAir she cut people off 35 minutes before flight time to check in bags, for a flight that was delayed 2 hours! I waited 8 more hrs!",Value For Money
@JetBlue u suck!we have been sitting here for 9hrs because of ur negligence,Value For Money
@united is trying to strand us in Houston until tomorrow morning. pretty sure overFlight Booking Problems and maintenance aren't our fault.,Ground Service
@united leadership counts. landed at 11:15 last night-deplaned at 12:40. 45 minutes of that was waiting for the jetway. Inexcusable,Value For Money
@USAirways how do I get thru on hold 3 hours 5 minutes . Is this normal ? My call is lost,Ground Service
@AmericanAir I need an answer why we can't get into Wichita Falls.,Ground Service
@USAirways Cancelled Flightled flight 1796 baggage held hostage at CHL. No communication.,Value For Money
"@JetBlue Flight 1562 had a 4 1/2 hour weather delay, but what is the 45 minute delay in getting bags to tired passengers?",Value For Money
@AmericanAir I responded. Your info different than your customer service line,Ground Service
@JetBlue Thanks. So the delay was the result of scheduling issues more than weather reLate Flightd problems?,Value For Money
@USAirways this is how concerned your gate attendants at C26 are this afternoon. #nocommunication #nocrew http://t.co/hFjYN2vtVj,Cabin Staff Service
@United #1758 now going in 40 min waiting for other plane to vacate gate. #findanothergate,Value For Money
@united JP - DM message who? Can't get a DM through to @united,Ground Service
"@united I would understand if weather was the issue, but bc of airline maintenance I had to sleep on an airport floor and lose an entire day",Value For Money
@united your customer service is terrible! Stood inline 3 hours no flights and 4 hours Late Flightr still no bag#disgutedindenver,Ground Service
@united my flight was delayed due to maintenance in LIT and caused me to miss my connection at IAH to MSY. Can you help?,Value For Money
@united poor old United: never seem to get the response right :),Ground Service
@united u would not be able to rebook me to get home any sooner than a now 2hr delayed flight.  #linesforever #customerservice #fail #again,Value For Money
@united 3359 which you finally Cancelled Flightled.,Value For Money
@SouthwestAir Hi-My flight (BNA to LGA) was Cancelled Flighted this morning--#1814. Looks like other flights out of BNA are taking off. Any chance?,Value For Money
@AmericanAir Why offer automated call back option when agent is available only to call me &amp; have me sit on hold? At 12:30am. #onholdfordays,Ground Service
@JetBlue so why do you put this at the bottom of ur baggage report? For fun? #JetBlue @airlinequality #skytrax http://t.co/tU9JX2jaZN,Ground Service
@USAirways It was US 893. The gate was open after about 50 mins waiting. What a great way to finish an 18 hour delayed arrival!!,Value For Money
@united Bag MIA since Wednesday. Still no word where it is or if we'll ever see it again. #lostluggage #frustrated,Ground Service
"@USAirways. On hold 2hrs after my flight was Cancelled Flightled &amp; ""Anthony"" was beyond rude and not helpful! @AmericanAir they're weighing you down.",Value For Money
"@united @FlyEIA yes, they said it took more than an hour!",Ground Service
@united How do I get reimbursed for hotel and taxis for the Cancelled Flightation?,Value For Money
@united ANOTHER F*CKING DELAY IN THE PAST 32 HOURS!?,Value For Money
@AmericanAir  You can't get us to Cincy but our luggage will still go there tonight? Stranded us in Dallas for 2 days w/o clothes? #Yousuck,Ground Service
"@united here I was thinking how I could say so many nice things after getting upgraded, but then you delayed my flight... It's ok!",Value For Money
@AmericanAir - very upset with my hometown airline. Stuck in Den Flt Cancelled Flightled. Others here with me got new Flt info,Value For Money
"@SouthwestAir 4 hour delay in ATL due to ""air traffic control""....love missing an entire day of my vacation #unhappycustomer #mytimeismoney",Value For Money
@AmericanAir Filed a PIR with an agent at Indianapolis airport. Unable to pull up information online on your site. Have DMed details.,Ground Service
@SouthwestAir you Cancelled Flightled my flight and now I am in the back of the queue and you want to charge me 200  for business class? Stay classy,Value For Money
@AmericanAir hour and a half after landing bags are finally trickling off. http://t.co/4KbTzVjU3b,Ground Service
@USAirways how can a person go from number one on a standby list to number twelve in three hours?  Should I be super platinum diamond status,Ground Service
"@AmericanAir @Active_Aly thx. We have already been on the iberia website, and seat reservation is unavailable. Hopefully we can call them.",Ground Service
@SouthwestAir I requested my boarding pass to be texted to me but I still haven't received it.,Ground Service
"@united a) she's an international. Her phone is on the fritz, I had to get to Chicago from nearly 4 hrs away to figure everything out.",Value For Money
"@united you're missin the point! There was no ""weather"". You're lying! Seats was broken. But u claim ""weather"" to get out of hotels. Classy",Legroom
@SouthwestAir sat on a plane for 2+ hrs on 2/15! Then we finally took off.. :(,Value For Money
@united And there is no direct phone number for status match desk? I really regret Flight Booking Problems with @united now.,Ground Service
@united the wait time for a baggage question is 60 minutes that's crazy is there a limit to the amount of bags I can bring internationally,Ground Service
"@southwestair,  Your male flight attendants must being playing a game called Who can be the Bigger Dick to People. Flight 952 to CHI-MID",Cabin Staff Service
@SouthwestAir I tried again with your in-flight wifi #fail,Inflight Entertainment
@USAirways F623 DEN:PHX impressive lack of concern by 1hr+ Late Flight flight attndt wrecking havoc on customer travel #smugsmirk #norush,Value For Money
@united its in black and white. EU law and all that €600 for a Cancelled Flightled flight. I want my money,Value For Money
@SouthwestAir can't believe how many paying customers you left high and dry with no reason for flight Cancelled Flightlations Monday out of BDL! Wow.,Value For Money
"@united sitting in Denver airport waiting for a plane to be refueled. For an hour and a half! Hurry the fuck up United, you fucking retards",Value For Money
"@United no consistency, #Denver agents say no standby with checked baggage citing FAA. Your website policy says otherwise. #time2switch",Ground Service
@united this is it... Last time I fly #UnitedAirlines  you screw up every trip now will be stuck in ord and miss work.,Value For Money
@USAirways I have a flight voucher/confirmation code but there is no where for me to enter it on your checkout page while Flight Booking Problems. Pls help,Ground Service
"@SouthwestAir I love you guys, but even Comcast has a better phone help system. A simple callback system would fix most of the problem...",Ground Service
@united I have submitted my complaint. I need to be compensated. How long will this take?,Ground Service
"@united considering I'm now stuck in Newark with virtually sleep in 30+ hours, I doubt it :/ hope car rentals are available",Value For Money
"@SouthwestAir my Flt was delayed, scheduled to miss my connection, can I get some help? 8HH4P2",Value For Money
"@United fucked up, then voided my ticket, and KEPT MY MONEY.  Not even an apology. I will never fly with your airline again. #UnitedAirlines",Value For Money
@USAirways @DRVRugby  team is back home but luggage all wet and partly damaged - Not happy! #blizzard,Ground Service
@SouthwestAir stop Cancelled Flighting my flight I have US history tests to take and chemistry things to learn do you not understand!!!!!!!!!,Value For Money
"@USAirways Flight 2069 from JFK to Charlotte, then 3750 from Charlotte to Birmingham. 2 previous flights to HSV were Cancelled Flightled.",Value For Money
@SouthwestAir I paid for inflight wifi only for it not to work. Download speed was 0.21mbps &amp; I ended up watching the free TV instead.,Inflight Entertainment
"@AmericanAir flights been Cancelled Flightled, can't get through to the desk and nothing showing online under my reservation - what do I do?",Value For Money
@USAirways this is ridiculous #planebroken can't wait to board this one home 5 hours Late Flightr #neverontime #brutal #paymytab,Value For Money
@united is my flight delayed? It keeps changing between delayed and not??? If delayed is checkin time Late Flightr??? http://t.co/NTUIx5dbYR,Value For Money
@USAirways flight #3739 leaving CVG. Gate agent had no computer and counted passengers on paper. I feel safe.,Cabin Staff Service
@AmericanAir flight delayed 3 times today due to flight officer. 4333 from pit to ord. 5 hour delay to date. #bademployeeproblem?,Value For Money
@united what's the point of offering a free checked bag of you lose it?,Ground Service
@united I understand ppl make mistakes but don't code something in a way that we can't get reimbursed when it's YOUR fault. Just blatant LIE,Ground Service
"@united SF crew lack a lot of customer service, LAX employees are a lot better. Wonder why...",Ground Service
@USAirways unfortunately patience won't get me to my boat that leaves at 4 pm. I was on hold watching all flights fill up.,Value For Money
"@USAirways Nightmarish customer service. Further to that, as an elite member, I'm appalled.",Ground Service
@JetBlue flight 577  fll to sfo. No speed line even though I paid for it. No coffee on flight. and my non stop now has an unscheduled stop,Food & Beverages
@USAirways @nburnside26 Well if you really didn't like them then she would be on an airplane. #FIOUSAirways 💁,Value For Money
@JetBlue Thank you for the reply. Would've appreciated communication before checking in about the delay. JetBlue used to be my go-to,Value For Money
@USAirways it shouldn't take longer to get to the gate than the flight itself takes.... 59 minutes flying time - 47 minutes on runway so far,Value For Money
"@AmericanAir having trouble Flight Booking Problems a seat on US84 11 March, operated by AA. Neither airline's website will allow seat selection?",Ground Service
@united ... horrible wait time on 4348 to get a gate  ..shows total miss  management . Value customer time and respect thier sentiment,Value For Money
@AmericanAir WHERE IS MY BAG?!?!?!,Ground Service
"@AmericanAir I am running out of battery you have my chargers,clothes,coat,contact lenses, need to be in mtg tom need help #pathetic service",Ground Service
@AmericanAir my flight 1106 was Cancelled Flightled and I need to get back to Cleveland. What are my options?,Value For Money
@USAirways I'm sorry as well. It's been 24 hrs without my bag and I can't get a straight answers. I'm on call #6 for today.,Ground Service
@USAirways I'm trying to Cancelled Flight my flight within the 24hr window but have been on hold for over an hour. Is there an alternate # I can dial?,Ground Service
"@AmericanAir you guys Cancelled Flightled my flight for today and booked me for tomorrow, so unfortunately i have rebooked. Thanks",Value For Money
@united need to chat with an actual human ASAP!,Ground Service
"@USAirways I checked in ""Standby for 1st Class"" only to find I am ""not on the list"". This merger is a pain.",Ground Service
@USAirways called 3x &amp; it says high call volumes call back. At $1 a minute for international calls is there any way someone can contact me?,Ground Service
@united I think problem resolution should be decided on your end. Especially if you'd like me to continue flying your airline.,Ground Service
@USAirways @AmericanAir Flight SF to NYC only made it to Philly. Ur customer service is telling me no refund for the last leg? #offensive,Ground Service
@AmericanAir sure is. What's more frustrating is being stranded at the airport with our fate in your hands.,Value For Money
@AmericanAir Also Agent not aware clearly of http://t.co/FWKJ49B1LE,Cabin Staff Service
"@united Once again I am victim to the scam that is your SHIT Customer Service, this time the agent hung up on me WTF do you teach your staff",Ground Service
.@AmericanAir cover a rental car or refund our ticket? - I'll gladly drive 10 hrs home than be stuck here till Tues!,Value For Money
@AmericanAir dont send me a tweet to cover your social media complaints. How about sending me a message with a way to resolve?!?! #CustServ,Ground Service
@united or how about next time my bag is underweight you guys credit me $200. Or how about I take my business to an airline that cares.,Ground Service
"@united your b737-800w  literally the smallest seats I have ever have, my dad got stuck In the tiny bathroom ad well #disspointed #premier1k",Legroom
@JetBlue that's where we all get on the same page. Cancelled Flighted it 45 mins ago. @delta @SouthwestAir help flights from @tfgreenairport to MCO?,Value For Money
@SouthwestAir Flight to Nashville was Cancelled Flightled. How do we another flight? I've been trying to call &amp; cannot get a human,Ground Service
@USAirways I certainly understand the hold delays for WX reschedules - I've been on for 2hr15min - do you have an estimated wait time?,Value For Money
"@AmericanAir Changed flight from BNA to 2/20 ahead of weather. Slammed me with cost diff because ""no weather advisory.""Really!",Ground Service
"@AmericanAir is the new @SpiritAirlines, and both are worse than taking the @GreyhoundBus #americanairlines #nocustomerservice #fail",Ground Service
@united thanks for not letting me switch flights Bc I had a checked bag then Cancelled Flighting my flight forcing me to take another 3 hrs Late Flightr!,Value For Money
@SouthwestAir where was the inclement weather? Other flights left DCA today and this plane appeared to be coming from AUS.,Value For Money
@USAirways now you have over 50 people in line. This is stupid!!! What the heck!,Ground Service
@AmericanAir Deplaned for the 3rd fucking time. Fuck you AA.,Value For Money
@AmericanAir fcuk you. Shit service. You got no fans.,Ground Service
@united I'd thank you - but you didn't help.  taking 6 hours to reply (so I get a message in the middle of the night) isn't actually helpful,Ground Service
@USAirways why are your customer service department so intent on ignoring my emails and queries? #badservice #usairways,Ground Service
@united  No first class passenger should have to pay for inflight wifi.,Inflight Entertainment
"@SouthwestAir I'm an A-list Preferred customer and very loyal SWA. However, your inflight wifi is no better today than it was 4 years ago.",Inflight Entertainment
"@JetBlue My mother had overheard a personnel ask the attendant if ""the passengers really knew what was going on"" and the attendant said no.",Cabin Staff Service
@united not happening.  Delta took care of us.  Peace!,Value For Money
@USAirways flight is already over. I think the airline should just have the flight attendants actually emphasize that VAPE is still smoking,Cabin Staff Service
@JetBlue Did you discontinue nonstop service from SJC to BOS? Can't find 471 or 472 anywhere,Ground Service
@SouthwestAir flight # 317,Value For Money
"@SouthwestAir flight 1613 Cancelled Flightled??? My wife is stuck in Phoenix on the way from slc to san
Thanks a lot southwest!",Value For Money
@united last week we also had maintenance issues and a flat tire. Another flight last week was Cancelled Flighted. Your track record is the WORST!,Value For Money
@USAirways your agent did not say,Ground Service
@AmericanAir Delayed: AA3186 - Missed due to delay: AA3186 - New flight now delayed: AA2401,Value For Money
"@SouthwestAir Loved one's flight ATL to IND Cancelled Flightled due to ""ice in Indy"". Sitting here in Indy, it is bone dry. Tomorrow 4-6"" of snow.",Value For Money
"@united It was Cancelled Flightled, none of the passengers were notified. Complete violation of travelers' rights.  @AerocivilCol",Value For Money
@JetBlue Two delays.  A little proactive communication goes a long way. #howhardcanthatreallybe?,Value For Money
@AmericanAir Still waiting on bags from flight 1613/2440 yesterday  First Class passenger not happy with your service.,Ground Service
"@USAirways Priorities should have been made. Considering a pending snow storm, why delay a flight for an hour &amp; a half? I'd like an answer.",Value For Money
@SouthwestAir are ur flight still Cancelled Flight from nashville tn today and tomorrow to Dallas TX? I been waiting on phone to ur office for 40 min.,Value For Money
@SouthwestAir I'm going to need you to answer your phones. Being on hold for an hour isn't okay.,Ground Service
@usairways  my flight has been Cancelled Flightled. On hold for 2+ hrs to reschedule. Need help now.  Taking way too long http://t.co/NeHnsDCkTY,Value For Money
@USAirways  well its 11:45am and just got an email that my 11am flight is delayed-thats not right,Value For Money
@AmericanAir why are there only 2 agents at domestic check in at MIA?! WTF? Huge lines and many people with Cancelled Flightled flights.,Value For Money
@united employee=faceless. Don't throw them under the bus. Starts with management. I'm almost a million miler and own my own company. 1/2,Cabin Staff Service
@united I am a comedian and I promise I will make fun of you on stage tonight.,Value For Money
@AmericanAir My wife &amp; infant daughter are on AA3195 ABI-DFW. En route but delayed. Can y’all hold AA1458 to RDU so they can connect?,Value For Money
@JetBlue no excuse though for 3 gate changes though.,Ground Service
@united how are you going to rectify this? Please direct me to your complaints department #stickingToDelta,Value For Money
@united apparently sleeping in B terminal wasn't the worst situation. Someone told other UA passengers they had to sleep at baggage claim.,Ground Service
@USAirways now my rebooked connection is delayed.,Value For Money
@USAirways my option is to use twitter. Most of the people working for u have no clue what they do. they tell you to go to A4 but its b16,Ground Service
@united so you're telling me there is no number to call after being left in an airport because of a negligent pilot and staff?,Cabin Staff Service
"@united Poor cabin luggage service on UA1266 to BOS, I was forced to check in even when there was empty space for bags in the overhead!",Cabin Staff Service
"@SouthwestAir WTF, my flight was delayed and then I go to board and my boarding pass has disappeared from the Southwest app!",Value For Money
@united hence why I've been asking for the customer service phone number so I can speak to a real person to get this sorted out,Ground Service
"@AmericanAir your a LIAR, no precipitation all day, 47 degrees, don't pacify, you look like a fool.......thats the problem, admit you suck",Ground Service
@JetBlue received a voucher but if you want to improve relations be up front with passengers.,Ground Service
@USAirways it's been three weeks since I was specifically told I would get a call back from your folks in AZ- should I keep being patient?,Ground Service
@JetBlue Only wish your ground operation was as expedient as your Twitter response team! Delay just got extended!,Value For Money
@JetBlue #489. Flight #589 is departing before we even board,Value For Money
@SouthwestAir thanks! I expected a wait... Just not that long. :),Ground Service
@united your customer service is lacking and you owe me a @GoPro camera. I also appreciate not being interrupted every time I speak Thanks,Ground Service
@SouthwestAir @JulGood1 she was traveling with me the one that got miscommunicated with,Ground Service
@JetBlue is flight 51 on 4/24/15 moved back? When I booked it said we arrive 11:31 but now it says 12:08 😢,Value For Money
@SouthwestAir I've been on hold almost an hour! I LUV y'all but #ImJustSaying 😔😔😔 http://t.co/t6fYyBHjhL,Ground Service
@united I would encourage you to re-interview the sole flight attendant on UAL 6166 from BUF to ORD. Blatantly not stable. Uncomfortable.,Cabin Staff Service
@united it's messed up to refuse to wait 10 min after united is at fault for delay but to leave early is absolutely disgusting.,Value For Money
@SouthwestAir Flight 52 got Cancelled Flightled 6 hrs before takeoff. No Customer Service. Been on hold for 30 minutes.,Value For Money
"@USAirways Gave up after more than 2 hours on hold. Still need that receipt; last time it was promised, it never arrived. Help?!",Ground Service
@USAirways so you don't have a pilot now for #clt ✈ #ord for at least another hour. Why on earth would you board the plane? Makes no sense!,Value For Money
"@jetblue, it would be nice if the app would actually inform you that a flight is delayed.",Value For Money
@USAirways help! I've been on hold for almost two hours. Trying 2 get home.,Ground Service
@united please provide update on UA 791. This flight has been stranded by united with no information from the crew on the plane.,Value For Money
@USAirways is the worst. 45 minute delay in Boston. Not weather reLate Flightd. Going to miss our connecting flight. Gassing up the plane issue.,Value For Money
@usairways Cancelled Flighted and rescheduled. said I'd have to pay $75 for earlier flight at next gate. Today @delta proactively offered same for $0,Value For Money
"@AmericanAir 2284, four hours Late Flightrs and we are finally flying out...too bad I missed my event",Value For Money
"@SouthwestAir By the way the flight number was 1703, please feel free to fact check my complaints about leave time &amp; baggage time.",Value For Money
@SouthwestAir any particular reason it's 20+ minutes and counting to speak to a human being?,Ground Service
"@USAirways what's the deal with flight 5268 from DCA to PHL? We boarded on time, left the gate a few mins Late Flight and are now sat on Tarmac?",Value For Money
@united have an employee at the gate 15min before boarding like u expect ur customers to. Be a competent company like ur rivals,Cabin Staff Service
@SouthwestAir All I requested was a refund of my Reward Points that I used to purchase the flight and he refused.,Ground Service
@USAirways how long are you going make us sit in this plane while they repair it? Could I at least get a beer???,Value For Money
@JetBlue how long does it take for a bag to get to the baggage belt!!!!!#toolong of a wait,Ground Service
@USAirways I'm glad too. But I should not have to spend an hour to try and track down the basic information that you already have available.,Ground Service
"@AmericanAir as of now, will do my best to never fly w/ #AmericanAirlines ever again. Y'all have made this a day to remember.",Value For Money
@SouthwestAir Cancelled Flightled all flights Fort Lauderdale to Philly. USAir flights got to Philly with no problem. WTF is wrong with SW @USAirways,Value For Money
"@united I'm fully aware, it's just that your rules are harsh toward the client. Especially since you're going to resell my seat for more $.",Ground Service
"5 hour delay = shortly?“@SouthwestAir: @brendanpshannon Brendan, we are so sorry to keep you waiting. We'll have you in the air shortly!^RS”",Value For Money
@SouthwestAir way to fuck up and lose @c_istudios bags. My husband has no warm clothes and no equipment. #youdidit #notcool,Ground Service
@united send someone to the customer service counter in person. DIA concourse B across from gate B36a.,Ground Service
@USAirways care to elaborate on why CHA to DCA is Cancelled Flightled this evening?,Value For Money
@VirginAmerica Can I get some help with a support ticket? It's been 15 days.... Incident: 150202-000419 Thank you!,Ground Service
@JetBlue heard about the charge for 1st bag and tighter seats - no need to be a loyal JB customer anymore!,Legroom
"@JetBlue Hey guys, why did my last flight earn me 0 pts? http://t.co/1syWlmTZek",Ground Service
".@SouthwestAir glad you appreciate it, it’ll be the last dollar you ever get from me thanks to your wretched customer service",Ground Service
@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,Legroom
"@united reFlight Booking Problems would not have made me reach on time for my meeting. Also didn't wanna take a chance, Booked myself on @etihad instead",Value For Money
@AmericanAir can someone actually either call back or help me figure out how I'm getting home??!,Ground Service
@AmericanAir What's with your baggage handlers calling out at DFW today? No luggage onboard the planes.,Ground Service
@SouthwestAir are people in an exit row still supposed to give their verbal approvals? I was never asked on the flight I'm on...,Cabin Staff Service
@USAirways strikes again--Late Flight crew #3/4 for the trip and maintenance #2/4.  Worth the extra $200/trip for less hassle and fewer delays,Value For Money
"@united cross country flight SFO&gt;BOS. No wifi, not even a can of soda and this quality inflight entertainment #sad http://t.co/xhlc30MTfF",Inflight Entertainment
@united @danahajek : United's CEO has decided to outsource and or push out more and more of their skilled and loyal employees..lack of staff,Ground Service
@USAirways #DividendRewards Urgently need to speak with a CS rep. My 50K miles havent shown &amp; I've fulfilled all reqs. Flight Booking Problems flights today,Ground Service
@AmericanAir the reservation system won't even let us leave our phone #. I have no way to fix that you rebooked me on wrong day!,Ground Service
"@AmericanAir @marxsterbcow How is this a real life response to a customer service issue? Seriously. Keep trying to call us. Eh, might work.",Ground Service
@AmericanAir Well I'm showing I am still sitting at the gate on the plane that has not departed?,Value For Money
@SouthwestAir flight to PHL from FLL Cancelled Flighted 2/21 no flight available until 2/24 done with SW.,Value For Money
@united Are your earnings so low that checkin people have to also be on Tarmac loading bags? JAN,Ground Service
"@JetBlue has screwed me over for the last time.  @SouthwestAir, glad to give you my business. #JetScrew #AwfulCustomerService",Ground Service
@USAirways well we should have been told that before we were sitting on the plane for an hour to have the option of not getting on.,Value For Money
@united But I got a bad exchange rate so want my money back. Please can you refund without penalty.,Ground Service
@AmericanAir @SouljaCoy what is AA going to do to fix their utterly embarrassing customer service? You won't even answer the dang phone!,Ground Service
@united how can you never got a flight from austin to Houston in time for a connection ever? Ever!,Value For Money
@JetBlue shut up an turn on the tvs/music,Inflight Entertainment
@united  why is it so hard to add in meal preferences AFTER I booked tickets? I forgot to do it &amp; it's now impossible! I even called.,Food & Beverages
"@united not tonight, we got a hotel and after 14hrs of traveling and still not reaching our destination we are disappointed. Thanks",Value For Money
@united loses my luggage and @hotelstonight loses my reservation. after a 10 hour travel day. I just want to get to @StartingBloc in the am!,Ground Service
"@AmericanAir Your AA3465 staff are refusing to allow a woman to board. She was here at 8 for 8:16 departure. Sign still ""Now Boarding""...",Cabin Staff Service
"@USAirways please explain, I have plenty of time since I'm STRANDED!!",Value For Money
"@united I got email update but still no ETA. More communication/details, apology + info on compensation rights would go a long way",Ground Service
@SouthwestAir is really gonna hear my mouth about this bag situation.,Ground Service
"@SouthwestAir @nelsjeff, 3.5 hrs. Late Flightr (no human interaction), ended up $'ing a completely new flight - so last flight out didn't sell out.",Ground Service
@JetBlue she's standing here on her cell no announcements no info #thismosaicnothappy,Ground Service
